pair,listener,crit_half,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
3,5,firsthalf,Two Contrasts Shared,0.7142857142857143,0.42857142857142855,14,0,0
3,5,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.2857142857142857,7,0,0
3,5,firsthalf,One Contrast,1,0.14285714285714285,7,0,0
3,5,secondhalf,Two Contrasts Shared,0.875,0.375,16,0,0
3,5,secondhalf,Two Contrasts Privileged,1,0.1111111111111111,9,0,0
3,5,secondhalf,One Contrast,1,0.625,8,0,0
3,6,firsthalf,Two Contrasts Shared,0.9285714285714286,0.6428571428571429,14,0,0
3,6,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.5,6,0,0
3,6,firsthalf,One Contrast,1,0.5714285714285714,7,0,0
3,6,secondhalf,Two Contrasts Shared,0.8,0.4666666666666667,15,0,0
3,6,secondhalf,Two Contrasts Privileged,0.8571428571428571,0.7142857142857143,7,0,0
3,6,secondhalf,One Contrast,1,0.125,8,0,0
4,7,firsthalf,Two Contrasts Shared,0.8461538461538461,0.5384615384615384,13,0,0
4,7,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.2857142857142857,7,0,0
4,7,firsthalf,One Contrast,0.8571428571428571,0.42857142857142855,7,0,0
4,7,secondhalf,Two Contrasts Shared,0.7333333333333333,0.5333333333333333,15,0,0
4,7,secondhalf,Two Contrasts Privileged,1,0.25,8,0,0
4,7,secondhalf,One Contrast,0.625,0.375,8,0,0
4,8,firsthalf,Two Contrasts Shared,0.8,0.3,10,0,0
4,8,firsthalf,Two Contrasts Privileged,1,0.25,4,0,0
4,8,firsthalf,One Contrast,0.4,0.4,5,0,0
4,8,secondhalf,Two Contrasts Shared,0.75,0.6666666666666666,12,0,0
4,8,secondhalf,Two Contrasts Privileged,1,0.16666666666666666,6,0,0
4,8,secondhalf,One Contrast,1,0.3333333333333333,6,0,0
5,9,firsthalf,Two Contrasts Shared,0.8888888888888888,0.4444444444444444,9,0,0
5,9,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.2857142857142857,7,0,0
5,9,firsthalf,One Contrast,0.7142857142857143,0.42857142857142855,7,0,0
5,9,secondhalf,Two Contrasts Shared,0.7272727272727273,0.7272727272727273,11,0,0
5,9,secondhalf,Two Contrasts Privileged,0.875,0.5,8,0,0
5,9,secondhalf,One Contrast,0.6666666666666666,0.3333333333333333,9,0,0
5,10,firsthalf,Two Contrasts Shared,0.6666666666666666,0.6,15,0,0
5,10,firsthalf,Two Contrasts Privileged,0.8,0.4,5,0,0
5,10,firsthalf,One Contrast,1,0.3333333333333333,6,0,0
5,10,secondhalf,Two Contrasts Shared,0.875,0.5625,16,0,0
5,10,secondhalf,Two Contrasts Privileged,0.7142857142857143,0.42857142857142855,7,0,0
5,10,secondhalf,One Contrast,1,0.42857142857142855,7,0,0
6,11,firsthalf,Two Contrasts Shared,0.8333333333333334,0.4166666666666667,12,0,0
6,11,firsthalf,Two Contrasts Privileged,1,0.3333333333333333,6,0,0
6,11,firsthalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
6,11,secondhalf,Two Contrasts Shared,0.46153846153846156,0.5384615384615384,13,0,0
6,11,secondhalf,Two Contrasts Privileged,0.875,0.25,8,0,0
6,11,secondhalf,One Contrast,0.8571428571428571,0.7142857142857143,7,0,0
6,12,firsthalf,Two Contrasts Shared,0.6923076923076923,0.5384615384615384,13,0,0
6,12,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.2857142857142857,7,0,0
6,12,firsthalf,One Contrast,0.5,0.3333333333333333,6,0,0
6,12,secondhalf,Two Contrasts Shared,0.6666666666666666,0.2,15,0,0
6,12,secondhalf,Two Contrasts Privileged,0.5,0.625,8,0,0
6,12,secondhalf,One Contrast,0.375,0.375,8,0,0
7,13,firsthalf,Two Contrasts Shared,0.6,0.6,15,0,0
7,13,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.2857142857142857,7,0,0
7,13,firsthalf,One Contrast,1,0,7,0,0
7,13,secondhalf,Two Contrasts Shared,0.6875,0.3125,16,0,0
7,13,secondhalf,Two Contrasts Privileged,0.5,0.375,8,0,0
7,13,secondhalf,One Contrast,0.6666666666666666,0.3333333333333333,9,0,0
7,14,firsthalf,Two Contrasts Shared,0.8571428571428571,0.5714285714285714,14,0,0
7,14,firsthalf,Two Contrasts Privileged,1,0.5714285714285714,7,0,0
7,14,firsthalf,One Contrast,0.8333333333333334,0.5,6,0,0
7,14,secondhalf,Two Contrasts Shared,0.8125,0.6875,16,0,0
7,14,secondhalf,Two Contrasts Privileged,0.875,0.625,8,0,0
7,14,secondhalf,One Contrast,0.875,0.25,8,0,0
8,15,firsthalf,Two Contrasts Shared,0.8461538461538461,0.3076923076923077,13,0,0
8,15,firsthalf,Two Contrasts Privileged,1,0.42857142857142855,7,0,0
8,15,firsthalf,One Contrast,0.8571428571428571,0.14285714285714285,7,0,0
8,15,secondhalf,Two Contrasts Shared,0.8666666666666667,0.3333333333333333,15,0,0
8,15,secondhalf,Two Contrasts Privileged,0.8888888888888888,0.5555555555555556,9,0,0
8,15,secondhalf,One Contrast,0.875,0.75,8,0,0
8,16,firsthalf,Two Contrasts Shared,0.8461538461538461,0.6153846153846154,13,0,0
8,16,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.3333333333333333,6,0,0
8,16,firsthalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
8,16,secondhalf,Two Contrasts Shared,0.6666666666666666,0.2,15,0,0
8,16,secondhalf,Two Contrasts Privileged,0.8571428571428571,0.5714285714285714,7,0,0
8,16,secondhalf,One Contrast,0.875,0.25,8,0,0
9,17,firsthalf,Two Contrasts Shared,1,0.5454545454545454,11,0,0
9,17,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.42857142857142855,7,0,0
9,17,firsthalf,One Contrast,1,0,7,0,0
9,17,secondhalf,Two Contrasts Shared,0.9230769230769231,0.5384615384615384,13,0,0
9,17,secondhalf,Two Contrasts Privileged,1,0.625,8,0,0
9,17,secondhalf,One Contrast,0.375,0.25,8,0,0
9,18,firsthalf,Two Contrasts Shared,0.6666666666666666,0.5,12,0,0
9,18,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.8571428571428571,7,0,0
9,18,firsthalf,One Contrast,0.8571428571428571,0.5714285714285714,7,0,0
9,18,secondhalf,Two Contrasts Shared,0.6428571428571429,0.5,14,0,0
9,18,secondhalf,Two Contrasts Privileged,1,0.3333333333333333,9,0,0
9,18,secondhalf,One Contrast,0.5,0.5,8,0,0
10,19,firsthalf,Two Contrasts Shared,0.6923076923076923,0.5384615384615384,13,0,0
10,19,firsthalf,Two Contrasts Privileged,1,0.7142857142857143,7,0,0
10,19,firsthalf,One Contrast,0.8333333333333334,0.5,6,0,0
10,19,secondhalf,Two Contrasts Shared,0.8571428571428571,0.6428571428571429,14,0,0
10,19,secondhalf,Two Contrasts Privileged,1,0.5,8,0,0
10,19,secondhalf,One Contrast,0.8571428571428571,0.5714285714285714,7,0,0
10,20,firsthalf,Two Contrasts Shared,0.8,0.7,10,0,0
10,20,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.14285714285714285,7,0,0
10,20,firsthalf,One Contrast,1,0.2,5,0,0
10,20,secondhalf,Two Contrasts Shared,0.75,0.3333333333333333,12,0,0
10,20,secondhalf,Two Contrasts Privileged,0.75,0,8,0,0
10,20,secondhalf,One Contrast,1,0.16666666666666666,6,0,0
11,21,firsthalf,Two Contrasts Shared,0.7857142857142857,0.6428571428571429,14,0,0
11,21,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.3333333333333333,6,0,0
11,21,firsthalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
11,21,secondhalf,Two Contrasts Shared,0.7333333333333333,0.4666666666666667,15,0,0
11,21,secondhalf,Two Contrasts Privileged,0.7142857142857143,0.42857142857142855,7,0,0
11,21,secondhalf,One Contrast,0.875,0,8,0,0
11,22,firsthalf,Two Contrasts Shared,0.5833333333333334,0.25,12,0,0
11,22,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.14285714285714285,7,0,0
11,22,firsthalf,One Contrast,0.16666666666666666,0.16666666666666666,6,0,0
11,22,secondhalf,Two Contrasts Shared,0.6153846153846154,0.5384615384615384,13,0,0
11,22,secondhalf,Two Contrasts Privileged,0.8888888888888888,0.1111111111111111,9,0,0
11,22,secondhalf,One Contrast,0.8571428571428571,0.14285714285714285,7,0,0
14,27,firsthalf,Two Contrasts Shared,0.7,0.2,10,0,0
14,27,firsthalf,Two Contrasts Privileged,0.8,0.4,5,0,0
14,27,firsthalf,One Contrast,0.6666666666666666,0.3333333333333333,3,0,0
14,27,secondhalf,Two Contrasts Shared,0.6666666666666666,0.3333333333333333,12,0,0
14,27,secondhalf,Two Contrasts Privileged,0.2857142857142857,0.8571428571428571,7,0,0
14,27,secondhalf,One Contrast,1,0,4,0,0
14,28,firsthalf,Two Contrasts Shared,0.7692307692307693,0.46153846153846156,13,0,0
14,28,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.7142857142857143,7,0,0
14,28,firsthalf,One Contrast,0.8333333333333334,1,6,0,0
14,28,secondhalf,Two Contrasts Shared,0.6428571428571429,0.6428571428571429,14,0,0
14,28,secondhalf,Two Contrasts Privileged,0.75,0.5,8,0,0
14,28,secondhalf,One Contrast,0.875,0.25,8,0,0
15,29,firsthalf,Two Contrasts Shared,0.7857142857142857,0.2857142857142857,14,0,0
15,29,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.42857142857142855,7,0,0
15,29,firsthalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
15,29,secondhalf,Two Contrasts Shared,0.375,0.3125,16,0,0
15,29,secondhalf,Two Contrasts Privileged,0.875,0.375,8,0,0
15,29,secondhalf,One Contrast,0.75,0.25,8,0,0
15,30,firsthalf,Two Contrasts Shared,0.9166666666666666,0.5833333333333334,12,0,0
15,30,firsthalf,Two Contrasts Privileged,1,0.42857142857142855,7,0,0
15,30,firsthalf,One Contrast,0.8571428571428571,0.5714285714285714,7,0,0
15,30,secondhalf,Two Contrasts Shared,0.8571428571428571,0.5,14,0,0
15,30,secondhalf,Two Contrasts Privileged,0.5,0.625,8,0,0
15,30,secondhalf,One Contrast,0.875,0.25,8,0,0
16,31,firsthalf,Two Contrasts Shared,0.9285714285714286,0.6428571428571429,14,0,0
16,31,firsthalf,Two Contrasts Privileged,0.5,0.75,4,0,0
16,31,firsthalf,One Contrast,0.6,0.6,5,0,0
16,31,secondhalf,Two Contrasts Shared,0.9375,0.375,16,0,0
16,31,secondhalf,Two Contrasts Privileged,1,0.4,5,0,0
16,31,secondhalf,One Contrast,1,0.16666666666666666,6,0,0
16,32,firsthalf,Two Contrasts Shared,0.7857142857142857,0.5714285714285714,14,0,0
16,32,firsthalf,Two Contrasts Privileged,0.5714285714285714,0.2857142857142857,7,0,0
16,32,firsthalf,One Contrast,0.8571428571428571,0.2857142857142857,7,0,0
16,32,secondhalf,Two Contrasts Shared,0.8125,0.4375,16,0,0
16,32,secondhalf,Two Contrasts Privileged,0.7777777777777778,0.5555555555555556,9,0,0
16,32,secondhalf,One Contrast,0.6666666666666666,0.3333333333333333,9,0,0
18,35,firsthalf,Two Contrasts Shared,0.5,0.6428571428571429,14,0,0
18,35,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.7142857142857143,7,0,0
18,35,firsthalf,One Contrast,0.8333333333333334,0.5,6,0,0
18,35,secondhalf,Two Contrasts Shared,0.7333333333333333,0.4666666666666667,15,0,0
18,35,secondhalf,Two Contrasts Privileged,1,0.3333333333333333,9,0,0
18,35,secondhalf,One Contrast,0.875,0.625,8,0,0
18,36,firsthalf,Two Contrasts Shared,0.75,0.4166666666666667,12,0,0
18,36,firsthalf,Two Contrasts Privileged,0.8,0.8,5,0,0
18,36,firsthalf,One Contrast,1,0,5,0,0
18,36,secondhalf,Two Contrasts Shared,0.9230769230769231,0.46153846153846156,13,0,0
18,36,secondhalf,Two Contrasts Privileged,1,0.14285714285714285,7,0,0
18,36,secondhalf,One Contrast,1,0.16666666666666666,6,0,0
19,37,firsthalf,Two Contrasts Shared,0.7777777777777778,0.3333333333333333,9,0,0
19,37,firsthalf,Two Contrasts Privileged,0.75,0.5,4,0,0
19,37,firsthalf,One Contrast,1,0.2,5,0,0
19,37,secondhalf,Two Contrasts Shared,0.9090909090909091,0.36363636363636365,11,0,0
19,37,secondhalf,Two Contrasts Privileged,0.8333333333333334,0.16666666666666666,6,0,0
19,37,secondhalf,One Contrast,0.8571428571428571,0.42857142857142855,7,0,0
19,38,firsthalf,Two Contrasts Shared,0.7272727272727273,0.6363636363636364,11,0,0
19,38,firsthalf,Two Contrasts Privileged,0.5,0.5,4,0,0
19,38,firsthalf,One Contrast,0.6666666666666666,0.3333333333333333,3,0,0
19,38,secondhalf,Two Contrasts Shared,0.7692307692307693,0.46153846153846156,13,0,0
19,38,secondhalf,Two Contrasts Privileged,1,0.4,5,0,0
19,38,secondhalf,One Contrast,0.8,0.6,5,0,0
20,39,firsthalf,Two Contrasts Shared,0.6923076923076923,0.5384615384615384,13,0,0
20,39,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.8571428571428571,7,0,0
20,39,firsthalf,One Contrast,0.7142857142857143,0.2857142857142857,7,0,0
20,39,secondhalf,Two Contrasts Shared,0.7142857142857143,0.5,14,0,0
20,39,secondhalf,Two Contrasts Privileged,0.7777777777777778,0.4444444444444444,9,0,0
20,39,secondhalf,One Contrast,0.625,0.5,8,0,0
20,40,firsthalf,Two Contrasts Shared,0.5714285714285714,0.5714285714285714,14,0,0
20,40,firsthalf,Two Contrasts Privileged,0.4,0.8,5,0,0
20,40,firsthalf,One Contrast,1,0.16666666666666666,6,0,0
20,40,secondhalf,Two Contrasts Shared,0.8,0.4666666666666667,15,0,0
20,40,secondhalf,Two Contrasts Privileged,0.8571428571428571,0.42857142857142855,7,0,0
20,40,secondhalf,One Contrast,0.875,0.25,8,0,0
21,41,firsthalf,Two Contrasts Shared,0.9285714285714286,0.5,14,0,0
21,41,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.16666666666666666,6,0,0
21,41,firsthalf,One Contrast,0.8571428571428571,0.5714285714285714,7,0,0
21,41,secondhalf,Two Contrasts Shared,0.875,0.4375,16,0,0
21,41,secondhalf,Two Contrasts Privileged,0.7142857142857143,0.2857142857142857,7,0,0
21,41,secondhalf,One Contrast,0.7777777777777778,0.4444444444444444,9,0,0
21,42,firsthalf,Two Contrasts Shared,1,0.3333333333333333,12,0,0
21,42,firsthalf,Two Contrasts Privileged,1,0.3333333333333333,6,0,0
21,42,firsthalf,One Contrast,0.6,0.4,5,0,0
21,42,secondhalf,Two Contrasts Shared,0.5714285714285714,0.42857142857142855,14,0,0
21,42,secondhalf,Two Contrasts Privileged,0.2857142857142857,0,7,0,0
21,42,secondhalf,One Contrast,1,1,6,0,0
22,43,firsthalf,Two Contrasts Shared,0.9285714285714286,0.5,14,0,0
22,43,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.7142857142857143,7,0,0
22,43,firsthalf,One Contrast,1,0.2,5,0,0
22,43,secondhalf,Two Contrasts Shared,0.8,0.26666666666666666,15,0,0
22,43,secondhalf,Two Contrasts Privileged,0.8888888888888888,0.4444444444444444,9,0,0
22,43,secondhalf,One Contrast,1,0.42857142857142855,7,0,0
22,44,firsthalf,Two Contrasts Shared,0.9285714285714286,0.42857142857142855,14,0,0
22,44,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.42857142857142855,7,0,0
22,44,firsthalf,One Contrast,0.8571428571428571,0.14285714285714285,7,0,0
22,44,secondhalf,Two Contrasts Shared,0.8125,0.4375,16,0,0
22,44,secondhalf,Two Contrasts Privileged,0.8888888888888888,0.4444444444444444,9,0,0
22,44,secondhalf,One Contrast,1,0.25,8,0,0
23,45,firsthalf,Two Contrasts Shared,0.7857142857142857,0.5,14,0,0
23,45,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.16666666666666666,6,0,0
23,45,firsthalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
23,45,secondhalf,Two Contrasts Shared,0.6875,0.5,16,0,0
23,45,secondhalf,Two Contrasts Privileged,1,0.125,8,0,0
23,45,secondhalf,One Contrast,1,0.5,8,0,0
23,46,firsthalf,Two Contrasts Shared,0.8666666666666667,0.4,15,0,0
23,46,firsthalf,Two Contrasts Privileged,1,0.2857142857142857,7,0,0
23,46,firsthalf,One Contrast,0.8571428571428571,0.2857142857142857,7,0,0
23,46,secondhalf,Two Contrasts Shared,0.75,0.625,16,0,0
23,46,secondhalf,Two Contrasts Privileged,0.75,0.5,8,0,0
23,46,secondhalf,One Contrast,0.75,0,8,0,0
24,47,firsthalf,Two Contrasts Shared,0.75,0.3333333333333333,12,0,0
24,47,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.5,6,0,0
24,47,firsthalf,One Contrast,0.8,0,5,0,0
24,47,secondhalf,Two Contrasts Shared,0.7142857142857143,0.2857142857142857,14,0,0
24,47,secondhalf,Two Contrasts Privileged,0.7142857142857143,0.5714285714285714,7,0,0
24,47,secondhalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
24,48,firsthalf,Two Contrasts Shared,0.2727272727272727,0.36363636363636365,11,0,0
24,48,firsthalf,Two Contrasts Privileged,0,0.4,5,0,0
24,48,firsthalf,One Contrast,0,0.2,5,0,0
24,48,secondhalf,Two Contrasts Shared,0.4166666666666667,0.25,12,0,0
24,48,secondhalf,Two Contrasts Privileged,0.42857142857142855,0.2857142857142857,7,0,0
24,48,secondhalf,One Contrast,0,0.2857142857142857,7,0,0
25,49,firsthalf,Two Contrasts Shared,0.8461538461538461,0.38461538461538464,13,0,0
25,49,firsthalf,Two Contrasts Privileged,0.5,0.5,6,0,0
25,49,firsthalf,One Contrast,0.8333333333333334,0.16666666666666666,6,0,0
25,49,secondhalf,Two Contrasts Shared,0.8571428571428571,0.35714285714285715,14,0,0
25,49,secondhalf,Two Contrasts Privileged,0.875,0.125,8,0,0
25,49,secondhalf,One Contrast,0.875,0.25,8,0,0
25,50,firsthalf,Two Contrasts Shared,1,0.5384615384615384,13,0,0
25,50,firsthalf,Two Contrasts Privileged,0.6,0.4,5,0,0
25,50,firsthalf,One Contrast,0.6666666666666666,0,6,0,0
25,50,secondhalf,Two Contrasts Shared,0.8,0.5333333333333333,15,0,0
25,50,secondhalf,Two Contrasts Privileged,0.6666666666666666,0.3333333333333333,6,0,0
25,50,secondhalf,One Contrast,1,0.2857142857142857,7,0,0
27,53,firsthalf,Two Contrasts Shared,0.6428571428571429,0.42857142857142855,14,0,0
27,53,firsthalf,Two Contrasts Privileged,1,0.5,6,0,0
27,53,firsthalf,One Contrast,0.6666666666666666,0.3333333333333333,6,0,0
27,53,secondhalf,Two Contrasts Shared,0.5333333333333333,0.4666666666666667,15,0,0
27,53,secondhalf,Two Contrasts Privileged,1,0.42857142857142855,7,0,0
27,53,secondhalf,One Contrast,0.5714285714285714,0.2857142857142857,7,0,0
27,54,firsthalf,Two Contrasts Shared,0.9230769230769231,0.5384615384615384,13,0,0
27,54,firsthalf,Two Contrasts Privileged,1,0.3333333333333333,6,0,0
27,54,firsthalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
27,54,secondhalf,Two Contrasts Shared,0.8,0.3333333333333333,15,0,0
27,54,secondhalf,Two Contrasts Privileged,1,0.42857142857142855,7,0,0
27,54,secondhalf,One Contrast,0.5714285714285714,0.7142857142857143,7,0,0
28,55,firsthalf,Two Contrasts Shared,0.6923076923076923,0.46153846153846156,13,0,0
28,55,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.42857142857142855,7,0,0
28,55,firsthalf,One Contrast,0.6666666666666666,0.5,6,0,0
28,55,secondhalf,Two Contrasts Shared,0.8666666666666667,0.6666666666666666,15,0,0
28,55,secondhalf,Two Contrasts Privileged,0.7777777777777778,0.6666666666666666,9,0,0
28,55,secondhalf,One Contrast,0.625,0.375,8,0,0
28,56,firsthalf,Two Contrasts Shared,1,0.42857142857142855,14,0,0
28,56,firsthalf,Two Contrasts Privileged,1,0.2857142857142857,7,0,0
28,56,firsthalf,One Contrast,0.8571428571428571,0.42857142857142855,7,0,0
28,56,secondhalf,Two Contrasts Shared,0.75,0.875,16,0,0
28,56,secondhalf,Two Contrasts Privileged,0.875,0.625,8,0,0
28,56,secondhalf,One Contrast,1,0.625,8,0,0
30,59,firsthalf,Two Contrasts Shared,0.6923076923076923,0.5384615384615384,13,0,0
30,59,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.7142857142857143,7,0,0
30,59,firsthalf,One Contrast,1,0.16666666666666666,6,0,0
30,59,secondhalf,Two Contrasts Shared,0.8571428571428571,0.2857142857142857,14,0,0
30,59,secondhalf,Two Contrasts Privileged,0.8888888888888888,0.4444444444444444,9,0,0
30,59,secondhalf,One Contrast,1,0.125,8,0,0
30,60,firsthalf,Two Contrasts Shared,0.6666666666666666,0.9166666666666666,12,0,0
30,60,firsthalf,Two Contrasts Privileged,0.75,0.5,4,0,0
30,60,firsthalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
30,60,secondhalf,Two Contrasts Shared,0.7692307692307693,0.3076923076923077,13,0,0
30,60,secondhalf,Two Contrasts Privileged,0.8333333333333334,0.5,6,0,0
30,60,secondhalf,One Contrast,0.875,0.75,8,0,0
31,61,firsthalf,Two Contrasts Shared,0.5333333333333333,0.6,15,0,0
31,61,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.5714285714285714,7,0,0
31,61,firsthalf,One Contrast,0.7142857142857143,0.2857142857142857,7,0,0
31,61,secondhalf,Two Contrasts Shared,0.8235294117647058,0.29411764705882354,17,0,0
31,61,secondhalf,Two Contrasts Privileged,0.6666666666666666,0.4444444444444444,9,0,0
31,61,secondhalf,One Contrast,0.625,0.375,8,0,0
31,62,firsthalf,Two Contrasts Shared,0.7857142857142857,0.5,14,0,0
31,62,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.5,6,0,0
31,62,firsthalf,One Contrast,0.8571428571428571,0.7142857142857143,7,0,0
31,62,secondhalf,Two Contrasts Shared,0.875,0.625,16,0,0
31,62,secondhalf,Two Contrasts Privileged,0.7142857142857143,0.5714285714285714,7,0,0
31,62,secondhalf,One Contrast,0.875,0.625,8,0,0
32,63,firsthalf,Two Contrasts Shared,0.9285714285714286,0.2857142857142857,14,0,0
32,63,firsthalf,Two Contrasts Privileged,0.8,0.4,5,0,0
32,63,firsthalf,One Contrast,1,0.14285714285714285,7,0,0
32,63,secondhalf,Two Contrasts Shared,0.75,0.6875,16,0,0
32,63,secondhalf,Two Contrasts Privileged,0.7142857142857143,0.5714285714285714,7,0,0
32,63,secondhalf,One Contrast,1,0.3333333333333333,9,0,0
32,64,firsthalf,Two Contrasts Shared,0.5454545454545454,0.5454545454545454,11,0,0
32,64,firsthalf,Two Contrasts Privileged,0.6,0.4,5,0,0
32,64,firsthalf,One Contrast,0.6,0,5,0,0
32,64,secondhalf,Two Contrasts Shared,0.75,0.5833333333333334,12,0,0
32,64,secondhalf,Two Contrasts Privileged,0.6666666666666666,0.5,6,0,0
32,64,secondhalf,One Contrast,0.7142857142857143,0.42857142857142855,7,0,0
33,65,firsthalf,Two Contrasts Shared,0.6923076923076923,0.6153846153846154,13,0,0
33,65,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.3333333333333333,6,0,0
33,65,firsthalf,One Contrast,0.8333333333333334,0.5,6,0,0
